Date,Price,Open,High,Low,Volume
12-12-2011,407.95,411.5,411.5,405.6,150.43K
13-12-2011,408.25,408.45,411.5,407.3,138.76K
14-12-2011,397.75,407.7,407.7,394.7,185.12K
15-12-2011,390.7,398,398.5,387.9,171.98K
16-12-2011,391.6,388,395.6,386.1,150.28K
17-12-2011,393.2,392,393.5,392,3.39K
19-12-2011,391.05,391.9,392.7,387.2,118.64K
20-12-2011,396.35,390.65,398.4,389.3,158.34K
21-12-2011,398.1,396.45,401.4,394,167.56K
22-12-2011,400.65,398.2,401.7,396.3,129.34K
23-12-2011,407.25,401.5,407.7,401.5,99.63K
24-12-2011,407,407.05,407.7,406.7,3.65K
26-12-2011,407.15,407.7,407.7,405.9,12.50K
27-12-2011,403.2,406.55,406.6,401.7,72.40K
28-12-2011,399.55,403.2,406.8,398.8,111.14K
29-12-2011,400.05,399.95,402,394.9,106.93K
30-12-2011,406.2,401.3,407.9,400.5,88.13K
31-12-2011,406,405.7,407,405.7,3.07K
02-01-2012,407.8,405.95,408,404.9,14.11K
03-01-2012,413.9,408.4,415.3,408.4,124.53K
04-01-2012,403.55,413,413,402.8,162.68K
05-01-2012,402.4,403.8,407.1,398.6,179.76K
06-01-2012,402.3,402.5,404,398.6,121.21K
07-01-2012,401.9,402.05,402.3,401.7,2.24K
09-01-2012,399.05,401.75,401.8,397,120.31K
10-01-2012,403.95,398.5,404.4,397.7,118.97K
11-01-2012,407.45,403,407.9,401.8,135.82K
12-01-2012,416.8,406.95,418.8,406,213.76K
13-01-2012,415.85,415.8,420.2,411.3,187.28K
14-01-2012,415.95,416.05,417.6,415.4,3.81K
16-01-2012,418.6,415.25,419.8,414.2,108.84K
17-01-2012,419.7,419.4,424.4,418.3,157.99K
18-01-2012,419,419,421.5,416.4,160.72K
19-01-2012,424,419.45,425.7,419.5,144.48K
20-01-2012,417.25,424.8,426.6,416.5,171.41K
21-01-2012,418.1,417.15,418.4,417.2,3.51K
23-01-2012,421.15,418.4,423,415.3,127.06K
24-01-2012,422.45,420.25,422.8,417.7,123.91K
25-01-2012,423.15,423,425,418.8,130.10K
27-01-2012,425.55,424,430.3,424,146.70K
28-01-2012,425.65,424.55,426.5,424.5,2.68K
30-01-2012,421.2,425.1,425.1,418.3,134.28K
31-01-2012,417.15,421.55,424.3,415.7,147.70K
01-02-2012,418.7,417,419.1,413.6,150.55K
02-02-2012,411.7,417.6,418.3,410.4,155.53K
03-02-2012,419.5,412.1,420,409.7,168.77K
04-02-2012,419.35,420,420.8,419.2,3.74K
06-02-2012,418.85,419.2,420.5,416.7,107.07K
07-02-2012,421.25,418.5,421.9,414.6,139.25K
08-02-2012,424.9,422,427.7,421.4,135.51K
09-02-2012,434.15,424.05,434.7,423.9,183.13K
10-02-2012,424.15,433.3,434.5,423.4,161.52K
11-02-2012,424.45,424.9,425,423.6,3.57K
13-02-2012,418.9,424.75,425.7,416.6,124.24K
14-02-2012,417.6,417.8,420.6,414.5,135.28K
15-02-2012,415.5,418.45,421.3,414.2,130.53K
16-02-2012,414.85,415.1,415.9,410,131.26K
17-02-2012,405,416,416.9,403.6,155.06K
18-02-2012,406.05,406,406.5,405,4.50K
20-02-2012,407.6,406.5,409.4,405,46.68K
21-02-2012,415.7,408.5,416,408.5,142.37K
22-02-2012,417.2,416,418.4,413.3,124.83K
23-02-2012,412.95,416.15,416.5,410.6,117.26K
24-02-2012,418,412.4,419.6,409.9,143.66K
25-02-2012,417.2,417.55,417.8,417,3.05K
27-02-2012,420.7,417.45,421.4,415.6,112.57K
28-02-2012,422.3,419.8,426.9,419,94.96K
29-02-2012,417.7,421.3,426.3,410,59.89K
01-03-2012,430.8,425.45,432.2,422.4,136.97K
02-03-2012,431.5,431.25,434.4,430.1,108.82K
03-03-2012,431.65,432.4,432.4,431.4,2.36K
05-03-2012,428.65,432.4,433.3,426.3,111.37K
06-03-2012,422.1,428.15,428.6,421.7,124.11K
07-03-2012,421.9,422.8,425.2,417.9,138.94K
08-03-2012,422.55,423.4,425.3,421.7,51.65K
09-03-2012,427.1,423.65,428.9,421.3,137.15K
10-03-2012,426.5,426.3,426.9,426.1,2.54K
12-03-2012,427.4,427.5,428.4,425.3,99.43K
13-03-2012,432.2,427.95,433.5,428,114.54K
14-03-2012,429,432.25,432.3,427.6,103.80K
15-03-2012,434.6,429.1,435,426.6,142.39K
16-03-2012,432.15,434.15,438.2,431.2,144.33K
17-03-2012,432.2,432.5,432.6,432.1,2.49K
19-03-2012,434.85,432,435.8,429.7,111.05K
20-03-2012,430.4,434,434.8,428.5,141.99K
21-03-2012,431,430.85,433.4,430.3,109.81K
22-03-2012,429.9,430.5,430.8,428,109.85K
23-03-2012,432.1,430.5,433.6,428.9,117.09K
24-03-2012,432.15,432.1,432.6,432,2.06K
26-03-2012,440.1,432.4,440.4,432.4,143.43K
27-03-2012,437.3,440,440,434.8,124.78K
28-03-2012,430.7,437,437,429.4,139.00K
29-03-2012,431.75,430.6,433.4,428.6,130.18K
30-03-2012,431.25,431.95,433.9,430.7,75.23K
31-03-2012,431.65,431.3,431.9,431.2,2.53K
