Date,3 Yr,5 Yr
01-02-2020,1.59,1.67
01-03-2020,1.54,1.59
01-06-2020,1.56,1.61
01-07-2020,1.55,1.62
01-08-2020,1.61,1.67
01-09-2020,1.59,1.65
01-10-2020,1.59,1.63
13-01-2020,1.6,1.65
14-01-2020,1.59,1.63
15-01-2020,1.56,1.6
16-01-2020,1.58,1.63
17-01-2020,1.56,1.63
21-01-2020,1.53,1.57
22-01-2020,1.52,1.57
23-01-2020,1.51,1.55
24-01-2020,1.48,1.51
27-01-2020,1.41,1.44
28-01-2020,1.45,1.47
29-01-2020,1.39,1.41
30-01-2020,1.37,1.39
31-01-2020,1.3,1.32
02-03-2020,1.34,1.35
02-04-2020,1.4,1.42
02-05-2020,1.43,1.46
02-06-2020,1.43,1.45
02-07-2020,1.39,1.41
02-10-2020,1.36,1.38
02-11-2020,1.39,1.4
02-12-2020,1.42,1.45
13-02-2020,1.42,1.43
14-02-2020,1.4,1.42
18-02-2020,1.37,1.39
19-02-2020,1.39,1.41
20-02-2020,1.35,1.37
21-02-2020,1.3,1.3
24-02-2020,1.21,1.21
25-02-2020,1.16,1.16
26-02-2020,1.14,1.14
27-02-2020,1.08,1.11
28-02-2020,0.85,0.89
03-02-2020,0.85,0.88
03-03-2020,0.72,0.77
03-04-2020,0.68,0.75
03-05-2020,0.61,0.67
03-06-2020,0.53,0.58
03-09-2020,0.4,0.46
03-10-2020,0.58,0.63
03-11-2020,0.58,0.66
03-12-2020,0.58,0.66
13-03-2020,0.58,0.7
16-03-2020,0.43,0.49
17-03-2020,0.54,0.66
18-03-2020,0.66,0.79
19-03-2020,0.53,0.66
20-03-2020,0.41,0.52
23-03-2020,0.31,0.38
24-03-2020,0.44,0.52
25-03-2020,0.41,0.56
26-03-2020,0.36,0.51
27-03-2020,0.3,0.41
30-03-2020,0.29,0.39
31-03-2020,0.29,0.37
04-01-2020,0.28,0.37
04-02-2020,0.29,0.39
04-03-2020,0.3,0.39
04-06-2020,0.35,0.44
04-07-2020,0.36,0.48
04-08-2020,0.34,0.47
04-09-2020,0.29,0.41
13-04-2020,0.31,0.44
14-04-2020,0.29,0.42
15-04-2020,0.24,0.34
16-04-2020,0.25,0.35
17-04-2020,0.26,0.36
20-04-2020,0.26,0.35
21-04-2020,0.24,0.34
22-04-2020,0.26,0.37
23-04-2020,0.26,0.37
24-04-2020,0.26,0.36
27-04-2020,0.29,0.41
28-04-2020,0.26,0.37
29-04-2020,0.24,0.36
30-04-2020,0.24,0.36
05-01-2020,0.25,0.36
05-04-2020,0.24,0.36
05-05-2020,0.24,0.36
05-06-2020,0.24,0.37
05-07-2020,0.19,0.29
05-08-2020,0.21,0.33
05-11-2020,0.24,0.36
05-12-2020,0.22,0.34
13-05-2020,0.2,0.31
14-05-2020,0.2,0.31
15-05-2020,0.19,0.31
18-05-2020,0.24,0.38
19-05-2020,0.22,0.35
20-05-2020,0.21,0.34
21-05-2020,0.21,0.35
22-05-2020,0.21,0.34
26-05-2020,0.22,0.35
27-05-2020,0.22,0.34
28-05-2020,0.22,0.34
29-05-2020,0.19,0.3
06-01-2020,0.2,0.31
06-02-2020,0.2,0.32
06-03-2020,0.26,0.38
06-04-2020,0.26,0.4
06-05-2020,0.29,0.47
06-08-2020,0.29,0.45
06-09-2020,0.25,0.4
06-10-2020,0.22,0.33
06-11-2020,0.22,0.32
06-12-2020,0.22,0.33
15-06-2020,0.22,0.33
16-06-2020,0.23,0.34
17-06-2020,0.23,0.34
18-06-2020,0.22,0.34
19-06-2020,0.22,0.33
22-06-2020,0.22,0.34
23-06-2020,0.22,0.33
24-06-2020,0.21,0.33
25-06-2020,0.21,0.32
26-06-2020,0.19,0.3
29-06-2020,0.18,0.28
30-06-2020,0.18,0.29
07-01-2020,0.19,0.31
07-02-2020,0.19,0.29
07-06-2020,0.19,0.31
07-07-2020,0.19,0.29
07-08-2020,0.19,0.3
07-09-2020,0.18,0.28
07-10-2020,0.19,0.3
13-07-2020,0.19,0.3
14-07-2020,0.19,0.28
15-07-2020,0.18,0.28
16-07-2020,0.17,0.28
17-07-2020,0.18,0.29
20-07-2020,0.18,0.29
21-07-2020,0.17,0.27
22-07-2020,0.17,0.27
23-07-2020,0.16,0.27
24-07-2020,0.17,0.27
27-07-2020,0.18,0.3
28-07-2020,0.16,0.26
29-07-2020,0.15,0.25
30-07-2020,0.14,0.23
31-07-2020,0.11,0.21
08-03-2020,0.13,0.22
08-04-2020,0.1,0.19
08-05-2020,0.13,0.22
08-06-2020,0.13,0.21
08-07-2020,0.14,0.23
08-10-2020,0.15,0.24
08-11-2020,0.18,0.27
08-12-2020,0.19,0.3
13-08-2020,0.19,0.32
14-08-2020,0.18,0.29
17-08-2020,0.18,0.29
18-08-2020,0.17,0.27
19-08-2020,0.17,0.29
20-08-2020,0.15,0.26
21-08-2020,0.16,0.27
24-08-2020,0.18,0.28
25-08-2020,0.18,0.3
26-08-2020,0.18,0.28
27-08-2020,0.19,0.31
28-08-2020,0.16,0.28
