Word,Gender,Category
Abigail,Female,Name
Adeline,Female,Name
Admiral,Male,Common Noun
Adventuress,Female,Common Noun
Alethea,Female,Name
Alexander,Male,Name
Alexis,Female,Name
Alice,Female,Name
Ambassador,Male,Common Noun
Amelia,Female,Name
Andrew,Male,Name
Annabelle,Female,Name
Anthony,Male,Name
Aria,Female,Name
Asher,Male,Name
Atticus,Male,Name
August,Male,Name
Aurora,Female,Name
Austin,Male,Name
Ava,Female,Name
Avery,Female,Name
Bachelor,Male,Common Noun
Bandit,Male,Common Noun
Baron,Male,Common Noun
Bear,Male,Animal Names
Beau,Male,Common Noun
Beckett,Male,Name
Benefactress,Female,Common Noun
Benjamin,Male,Name
Bentley,Male,Name
Billygoat,Male,Animal Names
Boar,Male,Animal Names
Boyfriend,Male,Common Noun
Brandon,Male,Name
Brielle,Female,Name
Brody,Male,Name
Bronson,Male,Name
Brother,Male,Common Noun
Bryce,Male,Name
Brynn,Female,Name
Bryson,Male,Name
Buck,Male,Animal Names
Bull,Male,Animal Names
Caitlin,Female,Name
Calanthe,Female,Name
Caleb,Male,Name
Cameron,Male,Name
Camila,Female,Name
Caroline,Female,Name
Carson,Male,Name
Caspian,Male,Name
Cavalier,Male,Common Noun
Cedric,Male,Name
Charlotte,Female,Name
Christopher,Male,Name
Clara,Female,Name
Clayton,Male,Name
Clio,Female,Name
Cobb,Male,Animal Names
Cockerel,Male,Animal Names
Cohen,Male,Name
Cole,Male,Name
Colette,Female,Name
Colt,Male,Animal Names
Colton,Male,Name
Cooper,Male,Name
Countess,Female,Common Noun
Cow,Female,Animal Names
Cowboy,Male,Common Noun
Cowgirl,Female,Common Noun
Craftswoman,Female,Common Noun
Cyrus,Male,Name
Daisy,Female,Name
Dame,Female,Common Noun
Daniel,Male,Name
Danielle,Female,Name
Daughter,Female,Common Noun
Diva,Female,Common Noun
Doe,Female,Animal Names
Doe Rabbit,Female,Animal Names
Dominic,Male,Name
Drake,Male,Animal Names
Duchess,Female,Common Noun
Duck,Female,Animal Names
Duke,Male,Common Noun
Dylan,Male,Name
Earl,Male,Common Noun
Easton,Male,Name
